epoch,epoch_time_sec,lr,lr/pg1,lr/pg2,step,train_detach_between_steps,train_loss,train_loss_log10_mae,train_loss_z_mse,train_rollout_steps,train_skip_steps,val_loss,val_loss_log10_mae,val_loss_z_mse
20,152.82864379882812,4.099988655070774e-05,,,391628,1.0,0.001679643290117383,0.0016717732651159167,3.1476985896006227e-05,1.0,0.0,,,
,,,4.2e-05,4.2e-05,391629,,,,,,,,,
21,,,,,410277,,,,,,,0.0015307951252907515,0.001524084829725325,2.6845254978979938e-05
21,153.11636352539062,4.2999959987355396e-05,,,410277,1.0,0.001604383229278028,0.0015972401015460491,2.858562584151514e-05,1.0,0.0,,,
,,,4.4000000000000006e-05,4.4000000000000006e-05,410278,,,,,,,,,
22,,,,,428926,,,,,,,0.0015074507100507617,0.0015010858187451959,2.5460534743615426e-05
22,152.8989715576172,4.50000079581514e-05,,,428926,1.0,0.0015337709337472916,0.0015270212898030877,2.695974035304971e-05,1.0,0.0,,,
,,,4.600000000000001e-05,4.600000000000001e-05,428927,,,,,,,,,
23,,,,,447575,,,,,,,0.001543750404380262,0.0015375337097793818,2.4872017093002796e-05
23,153.3814239501953,4.699988494394347e-05,,,447575,1.0,0.001453140052035451,0.0014467000728473067,2.5740149794728495e-05,1.0,0.0,,,
,,,4.8e-05,4.8e-05,447576,,,,,,,,,
24,,,,,466224,,,,,,,0.0012852934887632728,0.0012797961244359612,2.198473157477565e-05
24,153.33631896972656,4.899992563878186e-05,,,466224,1.0,0.0013812733814120293,0.0013751856749877334,2.4348721126443706e-05,1.0,0.0,,,
,,,5e-05,5e-05,466225,,,,,,,,,
25,,,,,484873,,,,,,,0.0012466692132875323,0.001241248450241983,2.1693966118618846e-05
25,153.4662322998047,5.099990448798053e-05,,,484873,1.0,0.0013054864248260856,0.0012997254962101579,2.3036218408378772e-05,1.0,0.0,,,
,,,5.2000000000000004e-05,5.2000000000000004e-05,484874,,,,,,,,,
26,,,,,503522,,,,,,,0.0011951170163229108,0.0011896861251443624,2.1719282813137397e-05
26,152.96505737304688,5.3000127081759274e-05,,,503522,1.0,0.0012348840245977044,0.0012294687330722809,2.1640094928443432e-05,1.0,0.0,,,
,,,5.4000000000000005e-05,5.4000000000000005e-05,503523,,,,,,,,,
27,,,,,522171,,,,,,,0.0010786938946694136,0.0010739255230873823,1.9071789211011492e-05
27,152.8059539794922,5.5000367865432054e-05,,,522171,1.0,0.0011700335890054703,0.0011647689389064908,2.106458487105556e-05,1.0,0.0,,,
,,,5.6000000000000006e-05,5.6000000000000006e-05,522172,,,,,,,,,
28,,,,,540820,,,,,,,0.0011053461348637938,0.0011004559928551316,1.956854794116225e-05
28,153.52207946777344,5.700004840036854e-05,,,540820,1.0,0.0011114892549812794,0.0011064066784456372,2.032921474892646e-05,1.0,0.0,,,
,,,5.8e-05,5.8e-05,540821,,,,,,,,,
29,,,,,559469,,,,,,,0.00099590711761266,0.000991544220596552,1.7449270671932027e-05
29,153.17660522460938,5.89998162467964e-05,,,559469,1.0,0.001053921296261251,0.0010490056592971087,1.9663926650537178e-05,1.0,0.0,,,
,,,6e-05,6e-05,559470,,,,,,,,,
30,,,,,578118,,,,,,,0.0010078544728457928,0.0010030922712758183,1.9049030015594326e-05
30,152.7965545654297,6.100013342802413e-05,,,578118,1.0,0.0010146229760721326,0.0010099561186507344,1.866770071501378e-05,1.0,0.0,,,
,,,6.2e-05,6.2e-05,578119,,,,,,,,,
31,,,,,596767,,,,,,,0.0009579513571225107,0.0009537801961414516,1.668753793637734e-05
31,153.15219116210938,6.300058157648891e-05,,,596767,1.0,0.0009860951686277986,0.000981548917479813,1.8197311874246225e-05,1.0,0.0,,,
,,,6.400000000000001e-05,6.400000000000001e-05,596768,,,,,,,,,
32,,,,,615416,,,,,,,0.0011023394763469696,0.0010965765686705709,2.3049271476338618e-05
32,153.2949981689453,6.499959999928251e-05,,,615416,1.0,0.0009635250316932797,0.0009590939152985811,1.7724792996887118e-05,1.0,0.0,,,
,,,6.6e-05,6.6e-05,615417,,,,,,,,,
33,,,,,634065,,,,,,,0.0009248983697034419,0.0009204858215525746,1.7649361325311475e-05
33,152.929443359375,6.699930963804945e-05,,,634065,1.0,0.0009443543967790902,0.0009401417337357998,1.686637187958695e-05,1.0,0.0,,,
,,,6.800000000000001e-05,6.800000000000001e-05,634066,,,,,,,,,
34,,,,,652714,,,,,,,0.0008990513742901385,0.0008951326599344611,1.5671877918066457e-05
34,152.7318115234375,6.900067819515243e-05,,,652714,1.0,0.0009270358714275062,0.0009228851995430887,1.6594449334661476e-05,1.0,0.0,,,
,,,7e-05,7e-05,652715,,,,,,,,,
35,,,,,671363,,,,,,,0.0009111481485888362,0.0009065468912012875,1.8403852664050646e-05
35,153.36256408691406,7.099997310433537e-05,,,671363,1.0,0.0009157444583252072,0.000911741575691849,1.6013307686080225e-05,1.0,0.0,,,
,,,7.2e-05,7.2e-05,671364,,,,,,,,,
36,,,,,690012,,,,,,,0.0009340554242953658,0.0009294712799601257,1.8331582396058366e-05
36,153.30975341796875,7.300023571588099e-05,,,690012,1.0,0.0009004080784507096,0.0008964140433818102,1.5961875760694966e-05,1.0,0.0,,,
,,,7.4e-05,7.4e-05,690013,,,,,,,,,
37,,,,,708661,,,,,,,0.0008761862409301102,0.000872708042152226,1.3918718650529627e-05
37,153.00418090820312,7.499929779442027e-05,,,708661,1.0,0.0008888057200238109,0.0008848895668052137,1.5657693438697606e-05,1.0,0.0,,,
,,,7.6e-05,7.6e-05,708662,,,,,,,,,
38,,,,,727310,,,,,,,0.0008478169329464436,0.0008441467653028667,1.4681142602057662e-05
38,153.34146118164062,7.699964771745726e-05,,,727310,1.0,0.0008774180896580219,0.0008736720192246139,1.4972551980463322e-05,1.0,0.0,,,
,,,7.800000000000001e-05,7.800000000000001e-05,727311,,,,,,,,,
39,,,,,745959,,,,,,,0.0009331172332167625,0.0009287347784265876,1.7529804608784616e-05
39,153.67794799804688,7.899994670879096e-05,,,745959,1.0,0.0008645121706649661,0.0008608060888946056,1.4837532944511622e-05,1.0,0.0,,,
,,,8e-05,8e-05,745960,,,,,,,,,
40,,,,,764608,,,,,,,0.0008628579089418054,0.0008588933269493282,1.586110556672793e-05
40,153.6295928955078,8.100002742139623e-05,,,764608,1.0,0.0008558846893720329,0.0008522038115188479,1.4715446923219133e-05,1.0,0.0,,,
,,,8.2e-05,8.2e-05,764609,,,,,,,,,
41,,,,,783257,,,,,,,0.0009006363106891513,0.0008957727695815265,1.9453249478829093e-05
41,153.58859252929688,8.299961336888373e-05,,,783257,1.0,0.0008476633229292929,0.0008440029923804104,1.464262095396407e-05,1.0,0.0,,,
,,,8.4e-05,8.4e-05,783258,,,,,,,,,
42,,,,,801906,,,,,,,0.0009486219496466219,0.0009446792537346482,1.577373404870741e-05
42,153.51882934570312,8.499940304318443e-05,,,801906,1.0,0.0008351223077625036,0.0008317119209095836,1.3648463209392503e-05,1.0,0.0,,,
,,,8.6e-05,8.6e-05,801907,,,,,,,,,
43,,,,,820555,,,,,,,0.0009455248364247382,0.0009414558298885822,1.627550955163315e-05
43,152.96759033203125,8.699981844983995e-05,,,820555,1.0,0.000828457938041538,0.000824801973067224,1.4620661204389762e-05,1.0,0.0,,,
,,,8.800000000000001e-05,8.800000000000001e-05,820556,,,,,,,,,
44,,,,,839204,,,,,,,0.0008222861215472221,0.000819161650724709,1.2499310287239496e-05
44,153.28810119628906,8.90004521352239e-05,,,839204,1.0,0.0008227612124755979,0.0008193055400624871,1.3813702025800012e-05,1.0,0.0,,,
,,,9e-05,9e-05,839205,,,,,,,,,
45,,,,,857853,,,,,,,0.0008542744326405227,0.0008509770850650966,1.3191928701417055e-05
45,153.71055603027344,9.09997324924916e-05,,,857853,1.0,0.0008154336828738451,0.0008121773134917021,1.3028519788349513e-05,1.0,0.0,,,
,,,9.200000000000001e-05,9.200000000000001e-05,857854,,,,,,,,,
46,,,,,876502,,,,,,,0.0007922835648059845,0.0007890654960647225,1.2872481420345139e-05
46,153.5187530517578,9.299994417233393e-05,,,876502,1.0,0.0008064053836278617,0.0008032755577005446,1.2507868632383179e-05,1.0,0.0,,,
,,,9.4e-05,9.4e-05,876503,,,,,,,,,
47,,,,,895151,,,,,,,0.000810534053016454,0.0008074225625023246,1.2448997040337417e-05
47,153.8420867919922,9.499976295046508e-05,,,895151,1.0,0.0008030302124097943,0.0007997453794814646,1.3136551388015505e-05,1.0,0.0,,,
,,,9.6e-05,9.6e-05,895152,,,,,,,,,
48,,,,,913800,,,,,,,0.0007985692354850471,0.0007954266620799899,1.256768882740289e-05
48,153.72828674316406,9.700041118776426e-05,,,913800,1.0,0.0007979187066666782,0.0007947213598527014,1.279434854950523e-05,1.0,0.0,,,
,,,9.8e-05,9.8e-05,913801,,,,,,,,,
49,,,,,932449,,,,,,,0.0008496653172187507,0.0008457763469778001,1.55572470248444e-05
49,153.73477172851562,9.900000441120937e-05,,,932449,1.0,0.0007861434132792056,0.0007831378025002778,1.2016016626148485e-05,1.0,0.0,,,
,,,0.0001,0.0001,932450,,,,,,,,,
50,,,,,951098,,,,,,,0.0008475304930470884,0.0008438178338110447,1.4852081221761182e-05
50,153.14173889160156,0.00010001056944020092,,,951098,1.0,0.0007790303789079189,0.0007761245360597968,1.1632047062448692e-05,1.0,0.0,,,
,,,9.999972933796531e-05,9.999972933796531e-05,951099,,,,,,,,,
51,,,,,969747,,,,,,,0.000778081885073334,0.0007749918149784207,1.2358412277535535e-05
51,153.7301483154297,0.0001000105039565824,,,969747,1.0,0.0007690430502407253,0.0007661368581466377,1.1622196325333789e-05,1.0,0.0,,,
,,,9.999891735482113e-05,9.999891735482113e-05,969748,,,,,,,,,
52,,,,,988396,,,,,,,0.0008417759090662003,0.000838247302453965,1.4116941201791633e-05
52,153.67803955078125,0.00010001048940466717,,,988396,1.0,0.0007578764925710857,0.0007549022557213902,1.1898256161657628e-05,1.0,0.0,,,
,,,9.999756405944717e-05,9.999756405944717e-05,988397,,,,,,,,,
53,,,,,1007045,,,,,,,0.0007900063646957278,0.000787089578807354,1.1668839761114214e-05
53,153.70281982421875,0.00010001022019423544,,,1007045,1.0,0.0007423644419759512,0.0007396648288704455,1.0793949513754342e-05,1.0,0.0,,,
,,,9.999566946664288e-05,9.999566946664288e-05,1007046,,,,,,,,,
54,,,,,1025694,,,,,,,0.000807657022960484,0.0008042317349463701,1.369890924252104e-05
54,153.64654541015625,0.00010001013288274407,,,1025694,1.0,0.0007393816486001015,0.000736633432097733,1.0984756045218091e-05,1.0,0.0,,,
,,,9.999323359712723e-05,9.999323359712723e-05,1025695,,,,,,,,,
55,,,,,1044343,,,,,,,0.0007533291354775429,0.0007504765526391566,1.1412249477871228e-05
55,153.76763916015625,0.00010000907786889002,,,1044343,1.0,0.0007265135645866394,0.0007239446276798844,1.0256995665258728e-05,1.0,0.0,,,
,,,9.999025647753845e-05,9.999025647753845e-05,1044344,,,,,,,,,
56,,,,,1062992,,,,,,,0.0007079255883581936,0.0007055490277707577,9.50670255406294e-06
56,153.78370666503906,0.00010000872862292454,,,1062992,1.0,0.0007181534310802817,0.0007156037609092891,1.0198127711191773e-05,1.0,0.0,,,
,,,9.99867381404339e-05,9.99867381404339e-05,1062993,,,,,,,,,
57,,,,,1081641,,,,,,,0.0007509361603297293,0.000748105754610151,1.1319261830067262e-05
57,153.6345977783203,9.999261965276673e-05,,,1081641,1.0,0.0007073406595736742,0.0007049095584079623,9.732740181789268e-06,1.0,0.0,,,
,,,9.99826786242895e-05,9.99826786242895e-05,1081642,,,,,,,,,
58,,,,,1100290,,,,,,,0.0007109104772098362,0.0007077994523569942,1.2444404092093464e-05
58,153.6750030517578,9.99922413029708e-05,,,1100290,1.0,0.000697601237334311,0.0006952171097509563,9.544850399834104e-06,1.0,0.0,,,
,,,9.997807797349947e-05,9.997807797349947e-05,1100291,,,,,,,,,
59,,,,,1118939,,,,,,,0.0007435022853314877,0.0007412933045998216,8.842099305184092e-06
59,153.61062622070312,9.999109170166776e-05,,,1118939,1.0,0.0006918015424162149,0.0006894172402098775,9.52764821704477e-06,1.0,0.0,,,
,,,9.997293623837585e-05,9.997293623837585e-05,1118940,,,,,,,,,
60,,,,,1137588,,,,,,,0.0006920027662999928,0.0006897199782542884,9.129240424954332e-06
60,153.58970642089844,9.998833411373198e-05,,,1137588,1.0,0.0006863448652438819,0.0006839785492047668,9.45763531490229e-06,1.0,0.0,,,
,,,9.996725347514777e-05,9.996725347514777e-05,1137589,,,,,,,,,
61,,,,,1156237,,,,,,,0.0007254978991113603,0.0007230063201859593,9.966235666070133e-06
61,153.7435760498047,9.998621681006625e-05,,,1156237,1.0,0.0006783288554288447,0.0006761057302355766,8.894239726942033e-06,1.0,0.0,,,
,,,9.996102974596105e-05,9.996102974596105e-05,1156238,,,,,,,,,
62,,,,,1174886,,,,,,,0.000749398663174361,0.0007463154615834355,1.2334665370872244e-05
62,153.7548370361328,9.993792627938092e-05,,,1174886,1.0,0.0006692096940241754,0.000666926905978471,9.130319085670635e-06,1.0,0.0,,,
,,,9.995426511887737e-05,9.995426511887737e-05,1174887,,,,,,,,,
63,,,,,1193535,,,,,,,0.0006795408553443849,0.0006771222688257694,9.672317901276983e-06
63,153.0575408935547,9.99292460619472e-05,,,1193535,1.0,0.0006644105887971818,0.0006622352520935237,8.723360224394128e-06,1.0,0.0,,,
,,,9.994695966787365e-05,9.994695966787365e-05,1193536,,,,,,,,,
64,,,,,1212184,,,,,,,0.0006689217989332974,0.0006667915731668472,8.519952643837314e-06
64,153.3579864501953,9.99277617665939e-05,,,1212184,1.0,0.0006591416313312948,0.0006569172837771475,8.898674423107877e-06,1.0,0.0,,,
,,,9.993911347284109e-05,9.993911347284109e-05,1212185,,,,,,,,,
65,,,,,1230833,,,,,,,0.0006648448179475963,0.0006627010880038142,8.575596439186484e-06
65,153.56800842285156,9.992325067287311e-05,,,1230833,1.0,0.0006547358934767544,0.0006524011259898543,9.346791557618417e-06,1.0,0.0,,,
,,,9.993072661958443e-05,9.993072661958443e-05,1230834,,,,,,,,,
66,,,,,1249482,,,,,,,0.000653566385153681,0.0006515069399029016,8.240788702096324e-06
66,153.69021606445312,9.991355909733102e-05,,,1249482,1.0,0.000650308036711067,0.000648144690785557,8.646945389045868e-06,1.0,0.0,,,
,,,9.992179919982098e-05,9.992179919982098e-05,1249483,,,,,,,,,
67,,,,,1268131,,,,,,,0.000683981052134186,0.0006816310342401266,9.398565453011543e-06
67,153.75003051757812,9.990493708755821e-05,,,1268131,1.0,0.0006431149668060243,0.0006410625064745545,8.207520295400172e-06,1.0,0.0,,,
,,,9.991233131117954e-05,9.991233131117954e-05,1268132,,,,,,,,,
68,,,,,1286780,,,,,,,0.0007068055565468967,0.000704064266756177,1.0968905371555593e-05
68,153.35855102539062,9.989938553189859e-05,,,1286780,1.0,0.0006371102062985301,0.000635106407571584,8.006551979633514e-06,1.0,0.0,,,
,,,9.990232305719945e-05,9.990232305719945e-05,1286781,,,,,,,,,
69,,,,,1305429,,,,,,,0.0006773622590117157,0.0006750937318429351,9.075783964362927e-06
69,153.79959106445312,9.989778482122347e-05,,,1305429,1.0,0.0006295361090451479,0.0006276071653701365,7.717169864918105e-06,1.0,0.0,,,
,,,9.989177454732935e-05,9.989177454732935e-05,1305430,,,,,,,,,
70,,,,,1324078,,,,,,,0.00067565415520221,0.0006732980255037546,9.42648603086127e-06
70,153.57574462890625,9.989691170630977e-05,,,1324078,1.0,0.0006277229986153543,0.0006257756031118333,7.786981768731494e-06,1.0,0.0,,,
,,,9.988068589692605e-05,9.988068589692605e-05,1324079,,,,,,,,,
71,,,,,1342727,,,,,,,0.0006413277005776763,0.0006391780916601419,8.597767191531602e-06
71,153.60345458984375,9.9891287391074e-05,,,1342727,1.0,0.0006233856547623873,0.0006214264431037009,7.834398275008425e-06,1.0,0.0,,,
,,,9.986905722725327e-05,9.986905722725327e-05,1342728,,,,,,,,,
72,,,,,1361376,,,,,,,0.0006301358225755394,0.0006283143884502351,7.28467011867906e-06
72,153.65228271484375,9.987341036321595e-05,,,1361376,1.0,0.0006164675578474998,0.0006146355299279094,7.333708254009252e-06,1.0,0.0,,,
,,,9.98568886654803e-05,9.98568886654803e-05,1361377,,,,,,,,,
73,,,,,1380025,,,,,,,0.0007112739840522408,0.0007083872333168983,1.1546044333954342e-05
73,153.50186157226562,9.987154044210911e-05,,,1380025,1.0,0.0006119020981714129,0.0006101012695580721,7.197515969892265e-06,1.0,0.0,,,
,,,9.984418034468053e-05,9.984418034468053e-05,1380026,,,,,,,,,
74,,,,,1398674,,,,,,,0.0006411486538127065,0.0006390661583282053,8.330262971867342e-06
74,153.59530639648438,9.981066978070885e-05,,,1398674,1.0,0.0006090608076192439,0.0006072810501791537,7.122074293874903e-06,1.0,0.0,,,
,,,9.983093240383015e-05,9.983093240383015e-05,1398675,,,,,,,,,
75,,,,,1417323,,,,,,,0.0006794197834096849,0.0006770138861611485,9.620889613870531e-06
75,153.77383422851562,9.980869072023779e-05,,,1417323,1.0,0.0006016058614477515,0.0005998815759085119,6.897457296872744e-06,1.0,0.0,,,
,,,9.981714498780653e-05,9.981714498780653e-05,1417324,,,,,,,,,
76,,,,,1435972,,,,,,,0.00064490782096982,0.0006426778854802251,8.914936188375577e-06
76,153.0381622314453,9.980353206628934e-05,,,1435972,1.0,0.0006019879947416484,0.0006002251757308841,7.0531782512262e-06,1.0,0.0,,,
,,,9.980281824738663e-05,9.980281824738663e-05,1435973,,,,,,,,,
77,,,,,1454621,,,,,,,0.0006126881926320493,0.0006108427187427878,7.379027010756545e-06
77,153.74476623535156,9.97857641777955e-05,,,1454621,1.0,0.0005979343550279737,0.0005962287541478872,6.813355867052451e-06,1.0,0.0,,,
,,,9.978795233924537e-05,9.978795233924537e-05,1454622,,,,,,,,,
78,,,,,1473270,,,,,,,0.0006043963367119431,0.0006025509210303426,7.380965143966023e-06
78,153.7134552001953,9.97797615127638e-05,,,1473270,1.0,0.000592252763453871,0.000590531446505338,6.892919827805599e-06,1.0,0.0,,,
,,,9.977254742595397e-05,9.977254742595397e-05,1473271,,,,,,,,,
79,,,,,1491919,,,,,,,0.0005972986691631377,0.0005955123342573643,7.146662483137334e-06
79,153.6520233154297,9.977743320632726e-05,,,1491919,1.0,0.0005905622383579612,0.0005887587321922183,7.212052423710702e-06,1.0,0.0,,,
,,,9.975660367597806e-05,9.975660367597806e-05,1491920,,,,,,,,,
80,,,,,1510568,,,,,,,0.0005866398569196463,0.0005847924039699137,7.3868345680239145e-06
80,153.4679718017578,9.976865112548694e-05,,,1510568,1.0,0.0005847588763572276,0.0005830992595292628,6.643126198468963e-06,1.0,0.0,,,
,,,9.974012126367598e-05,9.974012126367598e-05,1510569,,,,,,,,,
81,,,,,1529217,,,,,,,0.0006542016635648906,0.0006515628192573786,1.0557102541497443e-05
81,153.9129638671875,9.975261491490528e-05,,,1529217,1.0,0.0005813460447825491,0.0005797565099783242,6.353102435241453e-06,1.0,0.0,,,
,,,9.97231003692967e-05,9.97231003692967e-05,1529218,,,,,,,,,
82,,,,,1547866,,,,,,,0.0006039414438419044,0.000602113432250917,7.314007234526798e-06
82,153.63333129882812,9.969124948838726e-05,,,1547866,1.0,0.0005776499165222049,0.0005761097418144345,6.168402251205407e-06,1.0,0.0,,,
,,,9.970554117897805e-05,9.970554117897805e-05,1547867,,,,,,,,,
83,,,,,1566515,,,,,,,0.0006046783528290689,0.0006030137301422656,6.65942252453533e-06
83,153.66632080078125,9.968504309654236e-05,,,1566515,1.0,0.0005771256983280182,0.0005755298188887537,6.377500540111214e-06,1.0,0.0,,,
,,,9.968744388474447e-05,9.968744388474447e-05,1566516,,,,,,,,,
84,,,,,1585164,,,,,,,0.0006483388715423644,0.000646224245429039,8.45703743834747e-06
84,153.60154724121094,9.966694051399827e-05,,,1585164,1.0,0.0005715987063013017,0.0005700542824342847,6.167306764837122e-06,1.0,0.0,,,
,,,9.96688086845051e-05,9.96688086845051e-05,1585165,,,,,,,,,
85,,,,,1603813,,,,,,,0.0006147641106508672,0.0006129168323241174,7.387664027191931e-06
85,153.71737670898438,9.966041398001835e-05,,,1603813,1.0,0.0005695505533367395,0.0005680393078364432,6.040110747562721e-06,1.0,0.0,,,
,,,9.964963578205148e-05,9.964963578205148e-05,1603814,,,,,,,,,
86,,,,,1622462,,,,,,,0.0006634918972849846,0.0006613784935325384,8.4553084889194e-06
86,153.6581573486328,9.9657365353778e-05,,,1622462,1.0,0.0005659719463437796,0.0005644325283356011,6.153733920655213e-06,1.0,0.0,,,
,,,9.962992538705544e-05,9.962992538705544e-05,1622463,,,,,,,,,
87,,,,,1641111,,,,,,,0.0006056302227079868,0.0006039402214810252,6.761260465282248e-06
87,153.6572265625,9.963490447262302e-05,,,1641111,1.0,0.0005648089572787285,0.0005632570828311145,6.207258593349252e-06,1.0,0.0,,,
,,,9.960967771506666e-05,9.960967771506666e-05,1641112,,,,,,,,,
88,,,,,1659760,,,,,,,0.0005822233506478369,0.0005804219399578869,7.203562290669652e-06
88,153.6888427734375,9.957345173461363e-05,,,1659760,1.0,0.0005582784069702029,0.0005568218184635043,5.821136255690362e-06,1.0,0.0,,,
,,,9.958889298751046e-05,9.958889298751046e-05,1659761,,,,,,,,,
89,,,,,1678409,,,,,,,0.0006132777780294418,0.000611478928476572,7.192969405878102e-06
89,153.65554809570312,9.956821304513142e-05,,,1678409,1.0,0.0005570107605308294,0.0005555694224312901,5.761788997915573e-06,1.0,0.0,,,
,,,9.956757143168529e-05,9.956757143168529e-05,1678410,,,,,,,,,
